ID,field_id_anon,year,crop,yield_bu_ac,area_acres,rm_number,total_bu,farm_year_avg_yield,yield_index,prev_crop,yield_source,field_split,field_unit_id
1,F006,2019,Wheat,40,125,466,5000,40,1,,estimated,,F006-2019-WHE
2,F011,2019,Wheat,40,150,466,6000,40,1,,estimated,,F011-2019-WHE
3,F024,2019,Wheat,40,150,466,6000,40,1,,estimated,,F024-2019-WHE
4,F005,2019,Wheat,40,90,466,3600,40,1,,estimated,A,F005-2019-WHE-A
5,F001,2019,Wheat,40,25,466,1000,40,1,,estimated,A,F001-2019-WHE-A
6,F008,2019,Wheat,40,125,466,5000,40,1,,estimated,,F008-2019-WHE
7,F013,2019,Barley,45,155,466,6975,45,1,,estimated,,F013-2019-BAR
8,F026,2019,Barley,45,145,466,6525,45,1,,estimated,,F026-2019-BAR
9,F039,2019,Barley,45,120,466,5400,45,1,,estimated,,F039-2019-BAR
10,F004,2019,Barley,45,155,466,6975,45,1,,estimated,,F004-2019-BAR
11,F036,2019,Barley,45,145,466,6525,45,1,,estimated,,F036-2019-BAR
12,F022,2019,Barley,45,145,466,6525,45,1,,estimated,,F022-2019-BAR
13,F034,2019,Barley,45,135,466,6075,45,1,,estimated,A,F034-2019-BAR-A
14,F032,2019,Oats,60,83,466,4980,60,1,,estimated,,F032-2019-OAT
15,F029,2019,Oats,60,100,466,6000,60,1,,estimated,,F029-2019-OAT
16,F009,2019,Oats,60,60,466,3600,60,1,,estimated,A,F009-2019-OAT-A
17,F017,2019,Oats,60,144,466,8640,60,1,,estimated,,F017-2019-OAT
18,F033,2019,Oats,60,150,466,9000,60,1,,estimated,,F033-2019-OAT
19,F030,2019,Oats,60,155,466,9300,60,1,,estimated,,F030-2019-OAT
20,F005,2019,Canola,15,45,466,675,15,1,,estimated,B,F005-2019-CAN-B
21,F023,2019,Canola,15,155,466,2325,15,1,,estimated,,F023-2019-CAN
22,F007,2019,Canola,15,160,466,2400,15,1,,estimated,,F007-2019-CAN
23,F025,2019,Canola,15,155,466,2325,15,1,,estimated,,F025-2019-CAN
24,F038,2019,Canola,15,145,466,2175,15,1,,estimated,,F038-2019-CAN
25,F001,2019,Canola,15,121,466,1815,15,1,,estimated,B,F001-2019-CAN-B
26,F016,2019,Canola,15,147,466,2205,15,1,,estimated,,F016-2019-CAN
27,F009,2019,Canola,15,40,466,600,15,1,,estimated,B,F009-2019-CAN-B
28,F031,2019,Canola,15,150,466,2250,15,1,,estimated,,F031-2019-CAN
29,F034,2019,Canola,15,139,466,2085,15,1,,estimated,B,F034-2019-CAN-B
30,F019,2019,Canola,15,103,466,1545,15,1,,estimated,,F019-2019-CAN
31,F005,2020,Barley,63,118,466,7434,63,1,Wheat,estimated,,F005-2020-BAR
32,F023,2020,Barley,63,151,466,9513,63,1,Canola,estimated,,F023-2020-BAR
33,F001,2020,Barley,63,148,466,9324,63,1,Wheat,estimated,,F001-2020-BAR
34,F016,2020,Barley,63,139,466,8757,63,1,Wheat,estimated,,F016-2020-BAR
35,F017,2020,Barley,63,144,466,9072,63,1,Wheat,estimated,,F017-2020-BAR
36,F033,2020,Barley,63,150,466,9450,63,1,Wheat,estimated,,F033-2020-BAR
37,F019,2020,Barley,63,103,466,6489,63,1,Wheat,estimated,,F019-2020-BAR
38,F032,2020,Oats,60,83,466,4980,60,1,Oats,estimated,,F032-2020-OAT
39,F003,2020,Oats,60,155,466,9300,60,1,,estimated,,F003-2020-OAT
40,F035,2020,Oats,60,145,466,8700,60,1,,estimated,,F035-2020-OAT
41,F021,2020,Oats,60,145,466,8700,60,1,,estimated,,F021-2020-OAT
42,F037,2020,Oats,60,135,466,8100,60,1,,estimated,,F037-2020-OAT
43,F006,2020,Canola,30,125,466,3750,30,1,Wheat,estimated,,F006-2020-CAN
44,F011,2020,Canola,30,150,466,4500,30,1,Wheat,estimated,,F011-2020-CAN
45,F024,2020,Canola,30,150,466,4500,30,1,Wheat,estimated,,F024-2020-CAN
46,F013,2020,Canola,30,153,466,4590,30,1,Barley,estimated,,F013-2020-CAN
47,F039,2020,Canola,30,50,466,1500,30,1,Barley,estimated,A,F039-2020-CAN-A
48,F014,2020,Canola,30,150,466,4500,30,1,,estimated,,F014-2020-CAN
49,F040,2020,Canola,30,116,466,3480,30,1,,estimated,,F040-2020-CAN
50,F007,2020,Wheat,45,147,466,6615,45,1,Canola,estimated,,F007-2020-WHE
51,F025,2020,Wheat,45,104,466,4680,45,1,Canola,estimated,,F025-2020-WHE
52,F038,2020,Wheat,45,75,466,3375,45,1,Canola,estimated,,F038-2020-WHE
53,F026,2020,Wheat,45,145,466,6525,45,1,Barley,estimated,,F026-2020-WHE
54,F039,2020,Wheat,45,70,466,3150,45,1,Barley,estimated,B,F039-2020-WHE-B
55,F034,2020,Wheat,45,140,466,6300,45,1,Barley,estimated,,F034-2020-WHE
56,F006,2021,Wheat,25,150,466,3750,25,1,Canola,estimated,,F006-2021-WHE
57,F024,2021,Wheat,25,150,466,3750,25,1,Canola,estimated,,F024-2021-WHE
58,F010,2021,Wheat,25,145,466,3625,25,1,,estimated,,F010-2021-WHE
59,F018,2021,Wheat,25,145,466,3625,25,1,,estimated,,F018-2021-WHE
60,F005,2021,Barley,25,65,466,1625,25,1,Barley,estimated,A,F005-2021-BAR-A
61,F025,2021,Barley,25,64,466,1600,25,1,Wheat,estimated,A,F025-2021-BAR-A
62,F013,2021,Barley,25,153,466,3825,25,1,Canola,estimated,,F013-2021-BAR
63,F026,2021,Barley,25,55,466,1375,25,1,Wheat,estimated,A,F026-2021-BAR-A
64,F039,2021,Barley,25,20,466,500,25,1,Canola,estimated,A,F039-2021-BAR-A
65,F014,2021,Barley,25,150,466,3750,25,1,Canola,estimated,,F014-2021-BAR
66,F040,2021,Barley,25,116,466,2900,25,1,Canola,estimated,,F040-2021-BAR
67,F001,2021,Oats,32,148,466,4736,32,1,Barley,estimated,,F001-2021-OAT
68,F016,2021,Oats,32,139,466,4448,32,1,,estimated,,F016-2021-OAT
69,F005,2021,Canola,15,75,466,1125,15,1,Barley,estimated,B,F005-2021-CAN-B
70,F023,2021,Canola,15,151,466,2265,15,1,Barley,estimated,,F023-2021-CAN
71,F007,2021,Canola,15,147,466,2205,15,1,Wheat,estimated,,F007-2021-CAN
72,F025,2021,Canola,15,40,466,600,15,1,Wheat,estimated,B,F025-2021-CAN-B
73,F012,2021,Canola,15,75,466,1125,15,1,,estimated,,F012-2021-CAN
74,F026,2021,Canola,15,55,466,825,15,1,Wheat,estimated,B,F026-2021-CAN-B
75,F039,2021,Canola,15,100,466,1500,15,1,Canola,estimated,B,F039-2021-CAN-B
76,F002,2021,Canola,15,144,466,2160,15,1,,estimated,,F002-2021-CAN
77,F033,2021,Canola,15,150,466,2250,15,1,,estimated,,F033-2021-CAN
78,F004,2021,Canola,15,155,466,2325,15,1,,estimated,,F004-2021-CAN
79,F034,2021,Canola,15,140,466,2100,15,1,Wheat,estimated,,F034-2021-CAN
80,F036,2021,Canola,15,145,466,2175,15,1,,estimated,,F036-2021-CAN
